countryID_y,countryID_x,medelID,CountrySizeID,wealthID,numberofhost,medel for strongest sport,2021 gode medel
196,196,3,3,3,0,0,0
197,197,3,3,3,0,0,0
198,198,3,3,3,0,0,0
199,199,3,3,3,0,0,0
200,200,3,3,3,0,0,0
201,201,3,3,3,0,0,0
202,202,3,3,3,0,0,0
203,203,3,3,3,0,0,0
204,204,3,3,3,0,0,0
205,205,3,3,3,0,1,1
206,206,3,3,3,0,0,0
207,207,3,3,3,0,0,0
208,208,3,3,3,0,0,0
209,209,3,3,3,0,0,0
210,210,3,3,3,0,0,0
211,211,3,3,3,0,0,0
212,212,3,3,3,0,0,0
213,213,3,3,3,0,0,0
214,214,3,3,3,0,0,0
215,215,3,3,3,0,10,0
216,216,3,3,1,0,0,0
217,217,3,3,3,0,3,0
218,218,3,3,3,0,0,0
219,219,3,3,3,0,0,0
220,220,3,3,3,0,0,0
221,221,3,3,3,0,0,0
222,222,3,3,3,0,0,0
223,223,3,3,3,0,0,0
224,224,3,3,3,0,0,0
225,225,3,3,3,0,0,0
226,226,3,3,3,0,0,0
227,227,3,3,3,0,0,0
228,228,3,3,3,0,0,0
229,229,3,3,3,0,0,0
230,230,3,3,3,0,0,0
231,231,3,3,3,0,0,0
232,232,3,3,3,0,0,0
233,233,3,3,3,0,0,0
