countryID,medelID,grothID,CountrySizeID,GDP(pc),wealthID,numberofhost,medel for strongest sport,2021 gode medel,GDPgrowth(pc),Average Athlete Medals,Average Team Medals,AthleteteamID
62,3,2,2,145.0682947287136,3,0,1,0,-5.59573306,1.0,0.0,1
63,3,2,2,1917.1223460921267,3,0,24,0,-3.757983454,6.666666666666667,0.0,1
64,3,2,2,1564.7694418230744,3,0,5,0,-7.413626946,1.6666666666666667,1.3333333333333333,1
65,3,2,2,3147.346972165599,3,0,71,2,-3.145541561,11.526315789473685,6.421052631578948,1
66,3,2,2,113.71377229410297,3,0,0,0,-4.66133902,0.0,0.0,0
67,3,3,2,0.0,3,0,0,0,0.0,0.0,0.0,0
68,3,2,2,560.5224137468796,3,0,2,2,-9.07131767,1.6666666666666667,0.0,1
69,3,2,2,1078.7619778056471,3,0,1,0,-3.273321968,1.0,0.0,1
70,3,2,2,637.2258398032991,3,0,1,0,-1.342145925,1.0,0.0,1
71,3,2,2,9626.656040223283,3,1,133,10,-4.418555509,8.097560975609756,5.666666666666667,1
72,3,2,2,302.64989087293156,3,0,0,0,-4.213653755,0.0,0.0,0
73,3,2,2,128.64522974412745,3,0,7,0,-9.670404777,3.5,1.0,1
74,3,1,2,1095.1325257800002,3,0,0,0,2.317241012,0.0,0.0,0
75,3,2,2,116.14920973933256,3,0,0,0,-5.662297223,0.0,0.0,0
76,3,1,2,1262.7082808999999,3,0,0,0,0.951937861,0.0,0.0,0
77,3,2,2,61.80128752104803,3,0,2,0,-2.508461168,1.0,0.0,1
78,3,2,2,280.19531768869706,3,0,0,0,-9.952404845,0.0,0.0,0
79,3,2,2,328.0972016973534,3,0,5,1,-9.660661575,1.875,0.0,1
80,3,2,2,230.89768046322385,3,0,1,0,-4.55718544,1.0,1.0,0
81,3,2,2,6723.876546022578,3,1,21,3,-5.769592438,3.8275862068965516,3.2777777777777777,1
82,3,2,2,822.0973382440978,3,0,5,0,-7.719058679,1.6666666666666667,2.0,2
83,3,2,2,852.4787058764066,3,0,2,0,-3.677712354,1.5,0.0,1
84,3,3,2,0.0,3,0,0,0,0.0,0.0,0.0,0
85,3,2,3,803.5338033086686,3,0,78,8,-10.8222658,14.066666666666666,2.8,1
86,3,2,2,205.9564565917496,3,0,0,0,-10.43019024,0.0,0.0,0
87,3,2,2,13636.699506082843,3,1,91,3,-2.87468419,9.392156862745098,4.8936170212765955,1
88,3,2,2,392.9568022204209,3,0,0,0,-5.224817586,0.0,0.0,0
89,3,2,2,3415.1930979274894,3,0,40,5,-5.732526894,5.282051282051282,2.5294117647058822,1
90,3,2,2,710.5866939858786,3,0,25,0,-4.952701739,7.142857142857143,0.0,1
91,3,1,2,869.376834192,3,0,1,0,2.144186247,1.3333333333333333,0.0,1
92,3,2,2,1800.3601339665443,3,2,30,2,-8.808563835,5.833333333333333,2.4,1
93,3,2,2,2367.0055116808435,3,0,12,1,-8.396854511,2.111111111111111,1.75,1
94,3,2,2,3025.4332622227284,3,0,111,6,-4.330016567,13.357142857142858,5.78125,1
95,3,2,2,5590.391513087067,3,0,1,0,-5.731044522,1.0,0.0,1
96,3,2,2,5228.491870924465,3,0,15,1,-0.251386576,5.866666666666666,3.125,1
97,3,2,2,9806.784307880598,3,0,6,2,-3.573037419,1.7142857142857142,1.0,1
98,3,2,2,610.4388868821853,3,0,1,0,-0.433796943,1.0,0.0,1
99,3,2,2,94.9537968245126,3,0,0,0,-4.196551048,0.0,0.0,0
