countryID,medelID,grothID,CountrySizeID,GDP(pc),wealthID,numberofhost,medel for strongest sport,2021 gode medel,GDPgrowth(pc),Average Athlete Medals,Average Team Medals,AthleteteamID
39,3,2,2,3751.737305,3,0,18,1,-3.101658589,9.23076923076923,4.333333333333333,1
40,3,2,2,1502.950754,3,0,0,0,-8.672432129,0.0,0.0,0
41,3,3,2,0.0,3,0,2,0,0.0,1.5,1.0,1
42,3,1,2,1759.307471,3,0,15,3,0.053822233,4.5,0.0,1
43,3,3,2,0.0,3,0,0,0,0.0,0.0,0.0,0
44,3,2,2,454.0623643,3,0,2,0,-4.027268749,1.0,0.0,1
45,3,2,2,2176.576218,3,0,4,0,-1.541636526,1.0,1.0,0
46,3,2,2,6063.62658,3,0,3,0,-12.15393825,1.0,1.0,0
47,3,2,2,10160.82935,3,0,14,0,-6.661116651,1.4,3.0,2
48,3,2,2,1139.189892,3,0,0,0,-4.086568589,0.0,0.0,0
49,3,2,2,462.4042288,3,0,0,0,-9.414529773,0.0,0.0,0
50,3,2,2,2349.069882,3,0,3,0,-0.782841474,1.3333333333333333,0.0,1
51,3,3,2,0.0,3,0,6,1,0.0,1.7272727272727273,0.0,1
52,3,2,2,1539.130547,3,0,2,0,-2.422434418,1.0,1.0,0
53,3,2,2,564.8219973,3,0,1,0,-0.238156789,1.0,0.0,1
54,3,2,2,51722.069,3,2,220,19,-1.278358059,10.63888888888889,10.666666666666666,2
55,3,3,3,0.0,3,0,18,0,0.0,4.583333333333333,1.5,1
56,3,3,3,0.0,3,0,1,0,0.0,1.0,0.0,1
57,3,2,2,822.9061375,3,0,0,0,-4.29096596,0.0,0.0,0
58,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
59,3,2,2,833.2443361,3,0,1,0,-0.773847474,1.0,0.0,1
60,3,2,2,3852.389968,3,0,2,0,-5.129263121,1.0,0.0,1
61,3,2,2,622.1845914,3,0,0,0,-1.85159978,0.0,0.0,0
62,3,2,2,956.8317475,3,0,1,0,-5.59573306,1.0,0.0,1
63,3,2,2,9121.636402,3,0,24,0,-3.757983454,6.666666666666667,0.0,1
64,3,2,2,13165.38634,3,0,5,0,-7.413626946,1.6666666666666667,1.3333333333333333,1
65,3,2,2,13047.45768,3,0,71,2,-3.145541561,11.526315789473685,6.421052631578948,1
66,3,2,2,643.7722162,3,0,0,0,-4.66133902,0.0,0.0,0
67,3,3,2,0.0,3,0,0,0,0.0,0.0,0.0,0
68,3,2,2,5645.19929,3,0,2,2,-9.07131767,1.6666666666666667,0.0,1
69,3,2,2,4609.897258,3,0,1,0,-3.273321968,1.0,0.0,1
70,3,2,2,1492.475904,3,0,1,0,-1.342145925,1.0,0.0,1
71,3,2,2,52162.57012,3,1,133,10,-4.418555509,8.097560975609756,5.666666666666667,1
72,3,2,2,1577.91174,3,0,0,0,-4.213653755,0.0,0.0,0
73,3,2,2,1372.696674,3,0,7,0,-9.670404777,3.5,1.0,1
74,3,1,2,1073.659339,3,0,0,0,2.317241012,0.0,0.0,0
75,3,2,2,773.8205575,3,0,0,0,-5.662297223,0.0,0.0,0
76,3,1,2,1237.949295,3,0,0,0,0.951937861,0.0,0.0,0
77,3,2,2,216.8274174,3,0,2,0,-2.508461168,1.0,0.0,1
78,3,2,2,3068.812555,3,0,0,0,-9.952404845,0.0,0.0,0
79,3,2,2,3497.733231,3,0,5,1,-9.660661575,1.875,0.0,1
80,3,2,2,1283.141228,3,0,1,0,-4.55718544,1.0,1.0,0
81,3,2,2,45517.90382,3,1,21,3,-5.769592438,3.8275862068965516,3.2777777777777777,1
82,3,2,2,7167.914932,3,0,5,0,-7.719058679,1.6666666666666667,2.0,2
83,3,2,2,3987.650174,3,0,2,0,-3.677712354,1.5,0.0,1
84,3,3,2,0.0,3,0,0,0,0.0,0.0,0.0,0
85,3,2,3,9499.590202,3,0,78,8,-10.8222658,14.066666666666666,2.8,1
86,3,2,2,2354.12148,3,0,0,0,-10.43019024,0.0,0.0,0
87,3,2,2,52837.90398,3,1,91,3,-2.87468419,9.392156862745098,4.8936170212765955,1
88,3,2,2,2446.084413,3,0,0,0,-5.224817586,0.0,0.0,0
89,3,2,2,22992.87938,3,0,40,5,-5.732526894,5.282051282051282,2.5294117647058822,1
90,3,2,2,4229.910649,3,0,25,0,-4.952701739,7.142857142857143,0.0,1
91,3,1,2,852.3302296,3,0,1,0,2.144186247,1.3333333333333333,0.0,1
92,3,2,2,17658.9473,3,2,30,2,-8.808563835,5.833333333333333,2.4,1
93,3,2,2,22242.40642,3,0,12,1,-8.396854511,2.111111111111111,1.75,1
94,3,2,2,16125.60941,3,0,111,6,-4.330016567,13.357142857142858,5.78125,1
95,3,2,2,37629.17417,3,0,1,0,-5.731044522,1.0,0.0,1
96,3,2,2,6542.86454,3,0,15,1,-0.251386576,5.866666666666666,3.125,1
97,3,2,2,44846.7916,3,0,6,2,-3.573037419,1.7142857142857142,1.0,1
98,3,2,2,875.2454099,3,0,1,0,-0.433796943,1.0,0.0,1
